iter	RMSE
501	3.854031534
502	3.852455085
503	3.850657557
504	3.847263859
505	3.844660392
506	3.841529347
507	3.837583237
508	3.837299867
509	3.83519194
510	3.832374153
511	3.831074315
512	3.827358363
513	3.824763751
514	3.824131609
515	3.822323087
516	3.821744666
517	3.818914287
518	3.816039026
519	3.811893177
520	3.808678666
521	3.805773039
522	3.802413119
523	3.800136724
524	3.797374478
525	3.795334555
526	3.793174495
527	3.791508656
528	3.791061507
529	3.789274648
530	3.788259127
531	3.785204351
532	3.783566836
533	3.781551087
534	3.778468954
535	3.773218515
536	3.771828398
537	3.770795903
538	3.769014587
539	3.76813162
540	3.766124029
541	3.765309088
542	3.764318624
543	3.762932811
544	3.761061272
545	3.759747887
546	3.757270542
547	3.754882705
548	3.754765575
549	3.752245431
550	3.75001309
551	3.746367457
552	3.741941498
553	3.741715224
554	3.741068643
555	3.739119379
556	3.736617812
557	3.734200991
558	3.732605148
559	3.729847299
560	3.727894173
561	3.726876567
562	3.724813099
563	3.72385894
564	3.721608158
565	3.721124042
566	3.719596775
567	3.714222074
568	3.71134431
569	3.710206969
570	3.707619996
571	3.704106131
572	3.702177163
573	3.697613388
574	3.695110333
575	3.692513023
576	3.691509025
577	3.688378409
578	3.683063056
579	3.679578306
580	3.678322935
581	3.675365659
582	3.672897145
583	3.671282782
584	3.669473574
585	3.66832575
586	3.666939447
587	3.664778037
588	3.659882863
589	3.65794698
590	3.655405425
591	3.653707638
592	3.652491528
593	3.648018353
594	3.647546375
595	3.646005547
596	3.642500171
597	3.640144276
598	3.638159198
599	3.634848818
600	3.633141521
601	3.631618165
602	3.630077925
603	3.625036947
604	3.622322436
605	3.616945293
606	3.614068833
607	3.611444005
608	3.61006291
609	3.607281996
610	3.604889466
611	3.603575787
612	3.602154474
613	3.601757257
614	3.599164898
615	3.597498739
616	3.59270332
617	3.59093865
618	3.588904717
619	3.586809631
620	3.582384071
621	3.577731131
622	3.577010933
623	3.575846885
624	3.573624946
625	3.571511309
626	3.56925554
627	3.566952229
628	3.565973833
629	3.562884847
630	3.559737638
631	3.558924321
632	3.557945188
633	3.555803817
634	3.555068374
635	3.554456113
636	3.553821891
637	3.55258124
638	3.551892673
639	3.547458437
640	3.544669097
641	3.543739535
642	3.540586466
643	3.536213231
644	3.53437754
645	3.531371452
646	3.527561601
647	3.525333791
648	3.523521492
649	3.52106373
650	3.520253505
651	3.518493233
652	3.517021448
653	3.514907564
654	3.513386315
655	3.51288878
656	3.509786857
657	3.50739724
658	3.50629968
659	3.502960782
660	3.501375032
661	3.49758422
662	3.497313165
663	3.496396055
664	3.494900703
665	3.492841545
666	3.489217782
667	3.487078693
668	3.483095122
669	3.479934186
670	3.47834023
671	3.476807232
672	3.473915197
673	3.472001165
674	3.471343353
675	3.470772926
676	3.466548612
677	3.46529492
678	3.464609765
679	3.459686185
680	3.459352438
681	3.458214912
682	3.454745957
683	3.453887989
684	3.451964584
685	3.449320786
686	3.44851531
687	3.445099539
688	3.444514989
689	3.440550563
690	3.438623844
691	3.436108798
692	3.435155068
693	3.432960139
694	3.431043074
695	3.427350564
696	3.426231938
697	3.42394922
698	3.422371611
699	3.421997016
700	3.420596055
701	3.419246797
702	3.419042023
703	3.417340504
704	3.416806066
705	3.416665732
706	3.415780721
707	3.413401729
708	3.412355691
709	3.408422796
710	3.407921129
711	3.40747771
712	3.405800814
713	3.404855652
714	3.40245183
715	3.401565518
716	3.400378844
717	3.399284103
718	3.39656853
719	3.395297347
720	3.393678832
721	3.392717455
722	3.392277667
723	3.39081828
724	3.389525882
725	3.388898744
726	3.386278553
727	3.386066823
728	3.385068257
729	3.381340187
730	3.378317364
731	3.376108335
732	3.374727981
733	3.373614995
734	3.369698398
735	3.368648163
736	3.366372965
737	3.363852445
738	3.362349564
739	3.358810926
740	3.358078092
741	3.356073733
742	3.355344121
743	3.352211557
744	3.351008269
745	3.350688278
746	3.349300513
747	3.348224432
748	3.346905936
749	3.346004117
750	3.343252507
751	3.34189739
752	3.34070138
753	3.338785347
754	3.338184853
755	3.337583805
756	3.336583629
757	3.335620549
758	3.335158779
759	3.333415598
760	3.332142687
761	3.329644726
762	3.326415024
763	3.324371296
764	3.323743345
765	3.3228579
766	3.322478224
767	3.320819777
768	3.319622254
769	3.316207432
770	3.314476549
771	3.313269097
772	3.311892923
773	3.307780861
774	3.306404174
775	3.304821044
776	3.304315891
777	3.303197163
778	3.303063772
779	3.302081183
780	3.301123685
781	3.299279194
782	3.297315938
783	3.295594616
784	3.293877331
785	3.293254964
786	3.292196622
787	3.291365041
788	3.288329822
789	3.286181702
790	3.284466907
791	3.281773451
792	3.279350527
793	3.278258559
794	3.275795465
795	3.274712435
796	3.274575785
797	3.273986028
798	3.272545872
799	3.270990186
800	3.270168112
801	3.268960747
802	3.266465327
803	3.266340818
804	3.265648607
805	3.265379209
806	3.262628886
807	3.261318315
808	3.258802263
809	3.256545928
810	3.255623912
811	3.254202569
812	3.253112551
813	3.249856681
814	3.248842412
815	3.248151141
816	3.244378188
817	3.243651955
818	3.23999198
819	3.239769583
820	3.23774764
821	3.234139948
822	3.234008651
823	3.232447716
824	3.231096039
825	3.229866174
826	3.224304594
827	3.222671009
828	3.222063611
829	3.220298669
830	3.219967379
831	3.218050852
832	3.216516486
833	3.214686872
834	3.213322678
835	3.209802254
836	3.207378555
837	3.206379697
838	3.205524417
839	3.204699802
840	3.203102395
841	3.199231816
842	3.198360652
843	3.197560985
844	3.196407017
845	3.194321891
846	3.193253926
847	3.192873052
848	3.19181558
849	3.188796208
850	3.186918771
851	3.184674499
852	3.182298852
853	3.181051926
854	3.180237953
855	3.179351064
856	3.178694091
857	3.176978967
858	3.174731916
859	3.173411798
860	3.172607846
861	3.171597393
862	3.170269016
863	3.16933046
864	3.167371523
865	3.166082104
866	3.164790497
867	3.162350074
868	3.161729708
869	3.160888609
870	3.157865821
871	3.155054934
872	3.152608243
873	3.15213272
874	3.148868149
875	3.145517382
876	3.145244599
877	3.141936972
878	3.140731126
879	3.139755387
880	3.137221743
881	3.136301142
882	3.135511479
883	3.134951176
884	3.133689182
885	3.131718904
886	3.131316981
887	3.129897024
888	3.127082601
889	3.126283264
890	3.125296152
891	3.124520593
892	3.122398162
893	3.118231275
894	3.117792326
895	3.115407985
896	3.112150324
897	3.110644923
898	3.109549722
899	3.107784639
900	3.104958635
901	3.104328448
902	3.100639455
903	3.100539382
904	3.097580322
905	3.096437388
906	3.095307065
907	3.093601772
908	3.092325095
909	3.091236445
910	3.090478337
911	3.08817932
912	3.085317127
913	3.082543398
914	3.081170982
915	3.081030237
916	3.080110708
917	3.078533894
918	3.077632049
919	3.07538967
920	3.073510294
921	3.069540569
922	3.068243451
923	3.067563577
924	3.067299563
925	3.066971207
926	3.066165076
927	3.064628102
928	3.063320515
929	3.062659646
930	3.061258163
931	3.058344344
932	3.057642024
933	3.056516479
934	3.055133506
935	3.054537659
936	3.054077298
937	3.051270731
938	3.049702587
939	3.04883835
940	3.047582649
941	3.046037539
942	3.04240788
943	3.041752738
944	3.040625618
945	3.04001628
946	3.038028644
947	3.034907958
948	3.034217953
949	3.033005211
950	3.030944216
951	3.02954108
952	3.029105275
953	3.028573461
954	3.026923912
955	3.026881474
956	3.026571518
957	3.025234508
958	3.024192954
959	3.023984887
960	3.02324783
961	3.02283882
962	3.022268748
963	3.021032016
964	3.02088567
965	3.017824829
966	3.014380815
967	3.013744938
968	3.013170097
969	3.012580392
970	3.012295531
971	3.010690986
972	3.008702609
973	3.007801123
974	3.007503239
975	3.006700345
976	3.004951306
977	3.003974969
978	3.002071556
979	3.001336937
980	3.000526582
981	2.999716218
982	2.998584666
983	2.998545819
984	2.997795225
985	2.995539916
986	2.991084273
987	2.990792831
988	2.989689398
989	2.989202607
990	2.989177288
991	2.988318304
992	2.987941115
993	2.986981994
994	2.986448034
995	2.986149641
996	2.985757839
997	2.984884163
998	2.983838791
999	2.983767998
